Kanji,Reading,Meaning,Example
大きい,おおきい,big,"この犬は大きいです。
Kono inu wa ookii desu."
小さい,ちいさい,small,"猫は小さいです。
Neko wa chiisai desu."
新しい,あたらしい,new,"新しい車を買いました。
Atarashii kuruma o kaimashita."
古い,ふるい,old (things),"この本は古いです。
Kono hon wa furui desu."
高い,たかい,tall / expensive,"この建物は高いです。
Kono tatemono wa takai desu."
安い,やすい,cheap,"このレストランは安いです。
Kono resutoran wa yasui desu."
暑い,あつい,hot (weather),"今日はとても暑いです。
Kyou wa totemo atsui desu."
寒い,さむい,cold (weather),"冬は寒いです。
Fuyu wa samui desu."
いい,いい,good,"この映画はいいです。
Kono eiga wa ii desu."
悪い,わるい,bad,"天気が悪いです。
Tenki ga warui desu."
楽しい,たのしい,fun / enjoyable,"旅行は楽しいです。
Ryokou wa tanoshii desu."
難しい,むずかしい,difficult,"日本語は難しいです。
Nihongo wa muzukashii desu."
易しい,やさしい,easy,"この問題は易しいです。
Kono mondai wa yasashii desu."
美味しい,おいしい,delicious,"このケーキは美味しいです。
Kono keeki wa oishii desu."
忙しい,いそがしい,busy,"毎日忙しいです。
Mainichi isogashii desu."
面白い,おもしろい,interesting,"この本は面白いです。
Kono hon wa omoshiroi desu."
静かな,しずかな,quiet,"この部屋は静かです。
Kono heya wa shizuka desu."
有名な,ゆうめいな,famous,"彼は有名な歌手です。
Kare wa yuumei na kashu desu."
便利な,べんりな,convenient,"この道具はとても便利です。
Kono dougu wa totemo benri desu."
元気な,げんきな,energetic / healthy,"彼女はいつも元気です。
Kanojo wa itsumo genki desu."
